accurate_moves,inaccurate_moves,mistake_moves,blunder_moves,average_cp_loss,accuracy_score,player,game_id,elo,result,cheat_ratio,label
23,21,23,36,219.06796116504853,78.09320388349515,white,game_122,1336,draw,0.5818181818181818,0
25,23,19,36,214.32038834951456,78.56796116504854,black,game_122,1302,draw,0.5229357798165137,0
29,12,4,9,101.37037037037037,89.86296296296297,white,game_123,1338,draw,0.8070175438596491,1
31,9,6,7,97.41509433962264,90.25849056603774,black,game_123,1302,draw,0.6071428571428571,0
3,2,7,33,392.2,60.78,white,game_124,1343,draw,0.18,0
1,3,11,29,376.8636363636364,62.31363636363636,black,game_124,1302,draw,0.72,1
1,8,5,14,284.67857142857144,71.53214285714286,white,game_125,1345,draw,0.6363636363636364,0
2,9,2,15,290.14285714285717,70.98571428571428,black,game_125,1302,draw,0.0,0
5,7,6,20,281.2631578947368,71.87368421052632,white,game_126,1345,draw,0.04878048780487805,0
7,4,6,21,287.8421052631579,71.21578947368421,black,game_126,1302,draw,0.6341463414634146,0
7,13,10,13,214.69767441860466,78.53023255813953,white,game_127,1347,draw,0.5714285714285714,0
9,12,9,12,205.66666666666666,79.43333333333334,black,game_127,1302,draw,0.5,0
20,12,13,21,206.8939393939394,79.31060606060606,white,game_128,1351,draw,0.5416666666666666,0
21,11,11,24,216.52238805970148,78.34776119402986,black,game_128,1302,draw,0.8611111111111112,1
21,8,1,20,203.82,79.618,white,game_129,1365,draw,0.43859649122807015,0
25,5,1,18,185.6326530612245,81.43673469387755,black,game_129,1302,draw,0.08928571428571429,0
0,3,7,35,405.93333333333334,59.406666666666666,white,game_130,1369,draw,0.40384615384615385,0
1,7,2,33,391.1860465116279,60.8813953488372,black,game_130,1302,draw,0.09803921568627451,0
4,16,7,23,252.32,74.768,white,game_131,1377,draw,0.5645161290322581,0
4,16,7,23,253.32,74.668,black,game_131,1302,draw,0.39344262295081966,0
0,1,15,12,318.14285714285717,68.18571428571428,white,game_132,1380,draw,0.21875,0
1,0,15,12,306.4642857142857,69.35357142857143,black,game_132,1302,draw,0.03225806451612903,0
3,7,11,12,237.15151515151516,76.28484848484848,white,game_133,1381,draw,0.7297297297297297,1
1,8,12,12,243.45454545454547,75.65454545454546,black,game_133,1302,draw,0.3055555555555556,0
9,8,16,12,186.0222222222222,81.39777777777778,white,game_134,1389,draw,0.17307692307692307,0
9,9,12,14,196.36363636363637,80.36363636363636,black,game_134,1302,draw,0.3076923076923077,0
3,11,4,22,298.925,70.1075,white,game_135,1444,draw,0.55,0
12,8,5,14,208.51282051282053,79.14871794871794,black,game_135,1302,draw,0.05128205128205128,0
10,9,8,2,101.86206896551724,89.81379310344828,white,game_136,1448,draw,0.21875,0
10,8,8,3,106.03448275862068,89.39655172413794,black,game_136,1302,draw,0.0,0
3,16,5,0,74.25,92.575,white,game_137,1500,draw,0.16,0
5,16,2,0,60.608695652173914,93.93913043478261,black,game_137,1302,draw,0.56,0
6,14,8,29,274.82456140350877,72.51754385964912,white,game_138,1503,draw,0.22580645161290322,0
9,10,7,31,282.0701754385965,71.79298245614035,black,game_138,1302,draw,0.5483870967741935,0
2,14,4,22,265.54761904761904,73.4452380952381,white,game_139,1872,draw,0.5869565217391305,0
4,15,1,22,260.1666666666667,73.98333333333333,black,game_139,1302,draw,0.37777777777777777,0
45,7,1,0,16.264150943396228,98.37358490566038,white,game_140,2027,draw,0.7924528301886793,1
51,2,0,0,7.169811320754717,99.28301886792453,black,game_140,1302,draw,0.7547169811320755,1
0,4,2,6,295.75,70.425,white,game_141,1093,draw,0.0,0
0,3,2,6,321.54545454545456,67.84545454545454,black,game_141,1303,draw,0.15384615384615385,0
1,6,1,36,376.65909090909093,62.334090909090904,white,game_142,1117,draw,0.2962962962962963,0
1,5,1,36,387.83720930232556,61.21627906976744,black,game_142,1303,draw,0.4444444444444444,0
13,3,2,9,194.4814814814815,80.55185185185185,white,game_143,1160,draw,0.43333333333333335,0
16,1,1,9,184.55555555555554,81.54444444444445,black,game_143,1303,draw,0.13793103448275862,0
0,4,0,34,413.6578947368421,58.63421052631579,white,game_144,1183,draw,0.21428571428571427,0
1,3,0,33,402.5405405405405,59.74594594594595,black,game_144,1303,draw,0.5238095238095238,0
7,10,1,26,266.34090909090907,73.3659090909091,white,game_145,1188,draw,0.25,0
6,11,2,24,260.30232558139534,73.96976744186047,black,game_145,1303,draw,0.75,1
3,13,10,31,287.05263157894734,71.29473684210527,white,game_146,1205,draw,0.42424242424242425,0
5,11,7,34,294.57894736842104,70.5421052631579,black,game_146,1303,draw,0.7424242424242424,1
5,4,5,11,255.44,74.456,white,game_147,1217,draw,0.07692307692307693,0
5,4,2,12,270.1304347826087,72.98695652173913,black,game_147,1303,draw,0.15384615384615385,0
5,4,10,21,319.125,68.0875,white,game_148,1229,draw,0.782608695652174,1
7,2,10,20,310.46153846153845,68.95384615384616,black,game_148,1303,draw,0.6444444444444445,0
8,4,6,21,281.8205128205128,71.81794871794872,white,game_149,1233,draw,0.6363636363636364,0
8,3,7,20,281.10526315789474,71.88947368421053,black,game_149,1303,draw,0.0,0
5,8,4,23,309.975,69.0025,white,game_150,1241,draw,0.08888888888888889,0
3,8,4,24,331.28205128205127,66.87179487179486,black,game_150,1303,draw,0.5111111111111111,0
6,16,6,15,218.97674418604652,78.10232558139535,white,game_151,1248,draw,0.7346938775510204,1
6,15,7,14,211.23809523809524,78.87619047619047,black,game_151,1303,draw,0.08333333333333333,0
8,6,0,10,184.33333333333334,81.56666666666666,white,game_152,1254,draw,0.17647058823529413,0
10,4,1,10,188.68,81.132,black,game_152,1303,draw,0.030303030303030304,0
1,11,10,22,290.72727272727275,70.92727272727272,white,game_153,1256,draw,0.2765957446808511,0
